Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
124,Azerbaijan,31.1,9.7,21.3,30.3,34.5,39.8
125,Ecuador,31,7.8,20.4,33.8,27.5,47.4
126,China,30.7,9.5,21,36.3,21.1,94.2
127,Philippines,29.1,7.2,19.1,35.3,19.4,32.1
128,Tunisia,29,5,18,35.3,18,33.6
129,Ukraine,29,7.7,19.3,30.2,26.4,48.1
130,Kenya,28.9,7.5,19.1,30.5,25.1,33.4
131,Bolivia,28.7,8.5,19.5,30.1,22.5,43.1
132,Uzbekistan,28.6,10.7,20.4,32.1,24.5,48.6
133,Iraq,28.6,6.8,18.6,28.7,25.6,57.6
134,Tajikistan,28,10.1,19.8,36,19.9,42.4
135,Kyrgyzstan,27.6,12.2,20.5,28.5,23.9,41.6
136,Uganda,27.2,9.7,19.2,28.9,24,18.6
137,Algeria,26.9,3.2,16.1,36.8,15.8,35.3
138,Vietnam,26.9,9.6,19,32.6,15.7,40.5
139,Syria,26.8,5.9,17.3,28.1,25.9,6.4
140,Rwanda,26.5,14.3,20.9,25.1,21.6,24.8
141,Tanzania,25.8,7.7,17.5,25.5,19.7,26.1
142,Indonesia,24.7,7.8,17,32.6,13.3,28.5
143,Madagascar,24.2,7.3,16.5,25.3,16.5,14.9
144,Bangladesh,22.7,2.4,13.4,27.4,16,32.8
145,Iran,22.1,6.8,15.1,21.4,14.6,30.7
146,Nepal,21.9,2.8,13.2,22.7,16.5,29.9
147,Afghanistan,21.6,2.5,12.9,20.2,15.3,38.5
148,Egypt,21.5,3.8,13.4,22.5,19.4,23.9
149,Pakistan,20.3,3.1,12.4,18.8,17.7,27.9
150,Nigeria,20.2,12.2,16.6,22.7,18.8,8.8
151,Libya,19.4,4.8,12.7,22.9,10.9,37.8
152,India,18.1,3.8,11.6,21.4,14.3,69.6
